concessionaria,ano_do_pnv_snv,rodovia,sentido,latitude,longitude,km
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.16754,-48.90735,23.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.16845,-48.90732,23.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.16935,-48.9073,23.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.17025,-48.90728,23.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.17115,-48.90726,23.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.17205,-48.90724,23.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.17296,-48.90727,23.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.17386,-48.90739,23.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.17483,-48.90761,24.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.17657,-48.90815,24.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.17744,-48.90841,24.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1783,-48.90868,24.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.17917,-48.90895,24.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18005,-48.90922,24.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18091,-48.9095,24.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18177,-48.90981,24.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18261,-48.91016,24.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18345,-48.91054,25.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18513,-48.91129,25.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18601,-48.91151,25.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18691,-48.9116,25.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18782,-48.91168,25.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18872,-48.91176,25.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.18962,-48.91184,25.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.19052,-48.91192,25.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.19142,-48.91199,25.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.19231,-48.91206,26.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.19411,-48.91222,26.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.19502,-48.91229,26.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.19592,-48.91237,26.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.19681,-48.91244,26.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.19772,-48.91253,26.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.19861,-48.91264,26.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1995,-48.91282,26.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.20039,-48.91303,26.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.20126,-48.91327,27.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.20302,-48.91374,27.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.2039,-48.91397,27.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.20478,-48.9142,27.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.20565,-48.91444,27.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.20653,-48.91467,27.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.20741,-48.91491,27.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.20829,-48.91514,27.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.20916,-48.91538,27.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.21004,-48.91561,28.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.21184,-48.91587,28.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.21273,-48.91591,28.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.21364,-48.91595,28.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.21454,-48.91599,28.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.21545,-48.91603,28.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.21635,-48.91607,28.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.21725,-48.91611,28.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.21815,-48.91615,28.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.21896,-48.91618,29.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22077,-48.91626,29.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22167,-48.91629,29.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22257,-48.91634,29.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22348,-48.91637,29.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22438,-48.91642,29.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22528,-48.91646,29.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22618,-48.9165,29.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22708,-48.91654,29.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22807,-48.91658,30.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22898,-48.91663,30.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.22988,-48.91666,30.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.23079,-48.91671,30.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.23169,-48.91674,30.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.23259,-48.9167,30.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.23348,-48.9165,30.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.23433,-48.91616,30.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.23514,-48.91571,30.8
