concessionaria,ano_do_pnv_snv,rodovia,km_m,sentido,latitude,longitude
ECO101,2020,BR-101/BA,941.714,Decrescente,-18.0605,-39.875961
ECO101,2020,BR-101/BA,941.734,Crescente,-18.060657,-39.876055
ECO101,2020,BR-101/BA,941.734,Decrescente,-18.060657,-39.876055
ECO101,2020,BR-101/BA,941.754,Crescente,-18.060814,-39.876149
ECO101,2020,BR-101/BA,941.754,Decrescente,-18.060814,-39.876149
ECO101,2020,BR-101/BA,941.774,Crescente,-18.060972,-39.876241
ECO101,2020,BR-101/BA,941.774,Decrescente,-18.060972,-39.876241
ECO101,2020,BR-101/BA,941.794,Crescente,-18.061129,-39.876335
ECO101,2020,BR-101/BA,941.794,Decrescente,-18.061129,-39.876335
ECO101,2020,BR-101/BA,941.814,Crescente,-18.061284,-39.876426
ECO101,2020,BR-101/BA,941.814,Decrescente,-18.061284,-39.876426
ECO101,2020,BR-101/BA,941.834,Crescente,-18.061443,-39.876521
ECO101,2020,BR-101/BA,941.834,Decrescente,-18.061443,-39.876521
ECO101,2020,BR-101/BA,941.854,Crescente,-18.061601,-39.876615
ECO101,2020,BR-101/BA,941.854,Decrescente,-18.061601,-39.876615
ECO101,2020,BR-101/BA,941.874,Crescente,-18.061758,-39.876708
ECO101,2020,BR-101/BA,941.874,Decrescente,-18.061758,-39.876708
ECO101,2020,BR-101/BA,941.894,Crescente,-18.061915,-39.876801
ECO101,2020,BR-101/BA,941.894,Decrescente,-18.061915,-39.876801
ECO101,2020,BR-101/BA,941.914,Crescente,-18.062072,-39.876895
ECO101,2020,BR-101/BA,941.914,Decrescente,-18.062072,-39.876895
ECO101,2020,BR-101/BA,941.934,Crescente,-18.062223,-39.876986
ECO101,2020,BR-101/BA,941.934,Decrescente,-18.062223,-39.876986
ECO101,2020,BR-101/BA,941.954,Crescente,-18.062385,-39.877085
ECO101,2020,BR-101/BA,941.954,Decrescente,-18.062385,-39.877085
ECO101,2020,BR-101/BA,941.974,Crescente,-18.06254,-39.877181
ECO101,2020,BR-101/BA,941.974,Decrescente,-18.06254,-39.877181
ECO101,2020,BR-101/BA,941.994,Crescente,-18.062696,-39.877278
ECO101,2020,BR-101/BA,941.994,Decrescente,-18.062696,-39.877278
